"Search Parameters"	"Year"	"Mo"	"Dy"	"Hr"	"Mn"	"Sec"	"Tsu"	"Vol"	"Location Name"	"Latitude"	"Longitude"	"Focal Depth (km)"	"Mag"	"MMI Int"	"Deaths"	"Death Description"	"Missing"	"Missing Description"	"Injuries"	"Injuries Description"	"Damage ($Mil)"	"Damage Description"	"Houses Destroyed"	"Houses Destroyed Description"	"Houses Damaged"	"Houses Damaged Description"	"Total Deaths"	"Total Death Description"	"Total Missing"	"Total Missing Description"	"Total Injuries"	"Total Injuries Description"	"Total Damage ($Mil)"	"Total Damage Description"	"Total Houses Destroyed"	"Total Houses Destroyed Description"	"Total Houses Damaged"	"Total Houses Damaged Description"
"[""1995 <= Year >= 2000""]"																																						
	1996	9	5	8	14	14.4	2266		"CHILE:  EASTER ISLAND REGION"	-22.118	-113.436	10	6.9																									
	1996	9	5	20	44	9.2			"BALKANS NW:  CROATIA:  STON, SLANO"	42.803	17.936	10	6	8						2		3										2		3				
	1996	9	5	23	42	6	5641		"TAIWAN REGION"	21.898	121.498	20	6.8																									
	1996	10	18	10	50	20.8	2267		"JAPAN:  KYUSHU ISLAND"	30.568	131.093	10	6.6																									
	1996	10	19	14	44	40.7	2268		"JAPAN:  KYUSHU ISLAND"	31.885	131.468	22	6.7									1												1				
	1996	11	12	16	59	44	2269		"PERU:  CHINCHA ALTA, ACARI, NAZCA, MARCONA"	-14.993	-75.675	33	7.7	8	14	1			560	3		4			4000	4	14	1			560	3		4			4000	4
	1996	12	2	22	17	59.2	2270		"JAPAN:  KYUSHU"	31.789	131.314	49	6.7																									
	1997	1	9	13	43	31.5			"KYRGYZSTAN:  DZHERGETAL, KOSHTEBE, KAZARMAN"	41.026	74.284	22	5.8	7								1																
	1997	1	11	20	28	26			"MEXICO:  MICHOACAN, ARTEAGA"	18.219	-102.756	33	7.2		1	1						2					1	1						2				
	1997	1	12	12	10	51.3			"ALBANIA:  BERAT, URA VAJGURORE, GRAMSH, CERRIK"	40.956	19.672	10	4.7	6								1																
	1997	1	21	1	48	30.1			"CHINA:  SOUTHERN XINJIANG:  JIASHI COUNTY"	39.474	76.998	33	5.9		12	1			40	1		3	14000	4			12	1			40	1		3	14000	4		
	1997	2	4	10	37	47.1			"IRAN:  BOJNURD, SHIRVAN, ESFARAYEN"	37.661	57.291	10	6.5	8	88	2			1948	4	30	4	5500	4	11000	4	88	2			1948	4	30	4	5500	4	11000	4
	1997	2	27	21	8	2.3			"PAKISTAN:  HARNAI-SIBI, QUETTA"	29.976	68.208	33	7.1		60	2				3		2	500	3	500	3	60	2				3		2	500	3		
	1997	2	28	12	57	18.6			"IRAN:  ARDABIL"	38.075	48.05	10	6.1	8	1100	4			2600	4	76	4	12000	4			1100	4			2600	4	76	4	12000	4		
	1997	3	1	6	4	14.1			"CHINA:  S. XINJIANG, JIASHI COUNTY, KASHI"	39.422	76.839	22	5.6		2	1			6	1		3	4000	3			2	1			6	1		3	4000	4		
